Twitter,Name,Riding
@CarolHughesMP,Carol Hughes,Algoma—Manitoulin
@ScarpaleggiaMP,Francis Scarpaleggia,Lac-Saint-Louis
@JohnWestonMP,John Weston,West Vancouver—Sun
@NortheastShory,Devinder Shory,Calgary Northeast
@WaiYoungMP,Wai Young,Vancouver South
@davidtilson,David Tilson,Dufferin—Caledon
@GSchellenberger,Gary Schellenberger,Perth—Wellington
@pierrenantel,Pierre Nantel,Longueuil—Pierre
@BradButtMP,Brad Butt,Mississauga—Street
@BalGosal,Baljit Gosal,Bramalea—Gore—Ma
@TerenceYoungMP,Terence Young,Oakville
@JimFlaherty,Jim Flaherty,Whitby—Oshawa
@RCoteBL2011,Raymond Côté,Beauport—Limoilou
@MathieuRavignat,Mathieu Ravignat,Pontiac
@Phil4Brant,Phil McColeman,Brant
@rodneywestonsj,Rodney Weston,Saint John
@KyleSeeback,Kyle Seeback,Brampton West
@JayAspin,Jay Aspin,Nipissing—Timiskam
@MarjBoutinSweet,Marjo Boutin-Sweet,Hochelaga
@nwtdennis,Dennis Bevington,Western Arctic
@stephanedion,Stéphane Dion,Saint-Laurent—Cart
@BradTrostCPC,Brad Trost,Saskatoon—Humboldt
@RonaAmbrose_CPC,Rona Ambrose,Edmonton—Spruce Gr
@DenisBlanchette,Denis Blanchette,Louis-Hébert
@MatthewKellway,Mathew Kellway,Beaches—East York
@ScottReidCPC,Scott Reid,Lanark—Frontenac
@HLaverdiere2,Hélène Laverdière,Laurier—Sainte
@Joe_Preston,Joe Preston,Elgin—Middlesex—
@sylvainchicoine,Sylvain Chicoine,Châteauguay—Saint
@RandyKampMP,Randy Kamp,Pitt Meadows—Maple
@BryanHayesCPC,BRYAN HAYES,Sault Ste. Marie
@RosaneDL,Rosane Doré Lefebvre,Alfred
@jimkarygiannis,Jim Karygiannis,Scarborough—Aginco
@Elect_BrianJean,Brian Jean,Fort McMurray—Atha
@MarkEyking,Mark Eyking,Sydney—Victoria
@DavidAndersonSK,David Anderson,Cypress Hills—Gras
@Lee4YYCentre,Lee Richardson,Calgary Centre
@AliceWongCanada,Alice Wong,Richmond
@DeanAllisonMP,Dean Allison,Niagara West—Glanb
@bruce_stanton,Bruce Stanton,Simcoe North
@tbenskin,Louis Plamondon,Bas-Richelieu—Nico
@MPNinaGrewal,Nina Grewal,Fleetwood—Port Kel
@b_valcourt,Bernard Valcourt,Madawaska—Restigou
@francoispilon,François Pilon,Laval—Les Îles
@HamiltonCntrNDP,David Christopherson,Hamilton Centre
@deepakobhrai,Deepak Obhrai,Calgary East
@AnneMarieDay,Anne-Marie Day,Charlesbourg—Haute
@cchisu,Corneliu Chisu,Pickering—Scarboro
@jflarose,Jean-François Larose,Repentigny
@TomLukiwski,Tom Lukiwski,Regina—Lumsden—L
@robertrgoguen,Robert Goguen,Moncton—Riverview
@jimhillyer,Jim Hillyer,Lethbridge
@JPNichollsNPD,Jamie Nicholls,Vaudreuil
@KLDF2011,Kerry-Lynne Findlay,Delta—Richmond Eas
@electdavidwilks,David Wilks,Kootenay—Columbia
@ShellyGloverMP,Shelly Glover,Saint Boniface
@RobNicholsonCPC,Rob Nicholson,Niagara Falls
@earl_dreeshen,Earl Dreeshen,Red Deer
@RickNorlock,Rick Norlock,Northumberland—Qui
@BrianStorseth,Brian Storseth,Westlock—St. Paul
@MyleneFreeman,Mylène Freeman,Argenteuil—Papinea
@gordbrown,Gordon Brown,Leeds—Grenville
@JudySgro,Judy Sgro,York West
@VoteBevShipley,Bev Shipley,Lambton—Kent—Mid
@HiebertRuss,Russ Hiebert,South Surrey—White
@StellaAmbler,Stella Ambler,Mississauga South
@BobDechert,Robert Dechert,Mississauga—Erinda
@guycaron13,Guy Caron,Rimouski
@VotezGenereux,Bernard Généreux,Montmagny—L'Islet
@peggynash_,Peggy Nash,Parkdale—High Park
